chromosome	first base of the intron	last base of the intron	strand	intron motif	is annotated	number of uniquely mapping reads crossing the junction	number of multi-mapping reads crossing the junction	maximum spliced alignment overhang	is_in_gtf_junction	filename	pp_id	learning	exp
4	9829345	9838396	1	1	1	355	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9839114	1	1	1	14	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9840100	1	1	1	1076	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9840113	1	1	1	6	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9840117	1	1	1	1	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9840548	1	1	1	44	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829345	9842772	1	1	1	50	0	32	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829692	9842772	1	1	1	2	0	45	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9829864	9842772	1	1	1	90	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9830422	9842772	1	1	1	189	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9830934	9842772	1	1	1	303	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9831479	9842772	1	1	1	77	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9831972	9842772	1	1	1	319	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9832824	9842772	1	1	1	1	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9833888	9842772	1	1	1	27	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9833895	9842772	1	1	1	95	1	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9834402	9842772	1	1	1	148	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9834888	9842772	1	1	1	108	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9835470	9842772	1	1	1	255	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9835990	9842772	1	1	1	178	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9836563	9842772	1	1	1	108	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9837058	9842772	1	1	1	123	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9837674	9842772	1	1	1	54	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9837681	9842772	1	1	1	748	1	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9838159	9842772	1	1	1	144	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9838685	9842772	1	1	1	349	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9839397	9842772	1	1	1	14	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9840191	9842772	1	1	1	1083	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9840837	9842772	1	1	1	40	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9840852	9842772	1	1	1	3	0	57	False	seq2.9F2_p.NG-8304_Dscam1_lib80429_4024_1_SJ.out.tab	9F2_p	1	4024
4	9807598	9808789	1	1	1	0	2	27	True	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9809023	1	1	1	0	9	36	True	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9809027	1	1	1	10	409	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9809345	1	1	1	2	27	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9809515	1	1	1	0	2	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9809519	1	1	1	0	3	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9809543	1	1	1	3	318	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9809726	1	1	1	9	560	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9811174	1	1	1	0	24	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9811237	1	1	1	3	507	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9811457	1	1	1	24	1170	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9813002	1	1	1	13	88	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9813198	1	1	1	30	324	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9813834	1	1	1	2	4	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9813855	1	1	1	51	430	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9814014	1	1	1	21	801	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9814227	1	1	1	2	157	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9814252	1	1	1	48	1617	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9814457	1	1	1	0	7	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9814491	1	1	1	0	8	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9814505	1	1	1	5	304	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9814684	1	1	1	84	972	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9814923	1	1	1	183	1449	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9815244	1	1	1	6	384	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9815435	1	1	1	3	385	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9815740	1	1	1	43	252	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9815992	1	1	1	0	50	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9816211	1	1	1	0	50	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9816438	1	1	1	287	74	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9817769	1	1	1	22	161	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9817771	1	1	1	0	1	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9817954	1	1	1	2	119	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9818177	1	1	1	37	1092	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9818468	1	1	1	89	460	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9819256	1	1	1	0	2	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9819293	1	1	1	9	138	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9819295	1	1	1	0	4	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9819497	1	1	1	9	190	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9819695	1	1	1	96	320	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9819919	1	1	1	6	248	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9820097	1	1	1	19	341	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9820410	1	1	1	3	137	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9820722	1	1	1	120	3812	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9820724	1	1	1	0	2	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9821056	1	1	1	4	275	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9821249	1	1	1	145	519	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9821461	1	1	1	11	434	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9821648	1	1	1	282	1744	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9821847	1	1	1	8	79	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9822007	1	1	1	17	297	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9822188	1	1	1	12	28	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9822421	1	1	1	9	112	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9822590	1	1	1	6	392	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9822764	1	1	1	211	1232	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9823039	1	1	1	51	917	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9823251	1	1	1	60	420	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9823482	1	1	1	0	42	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9823637	1	1	1	1	694	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9823655	1	1	1	0	82	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9824204	1	1	1	1	231	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9825060	1	1	1	8	6947	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9825106	1	1	1	0	29	36	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807598	9826741	1	1	1	0	3	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807602	9817954	1	1	1	0	1	40	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807602	9821648	1	1	1	41	23	40	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9807602	9825060	1	1	1	0	2	40	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9809152	9826741	1	1	1	10	399	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9809470	9826741	1	1	1	2	19	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9809668	9826741	1	1	1	1	290	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9809851	9826741	1	1	1	8	494	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9811362	9811457	1	1	1	1	0	15	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9811362	9826741	1	1	1	0	494	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9811582	9825060	1	1	1	0	1	18	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9811582	9826741	1	1	1	18	996	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9813127	9826741	1	1	1	16	72	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9813327	9826741	1	1	1	34	294	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9813762	9826741	1	1	1	27	2	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9813980	9814072	1	1	1	1	1	21	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9813980	9826741	1	1	1	38	393	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9814139	9826741	1	1	1	23	692	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9814374	9826741	1	1	1	43	1555	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9814428	9826741	1	1	1	0	3	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9814630	9826741	1	1	1	2	311	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9814812	9826741	1	1	1	76	842	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9814936	9818194	1	3	0	0	1	12	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9815057	9826741	1	1	1	196	1407	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9815066	9826751	1	1	1	0	1	21	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9815369	9826741	1	1	1	0	361	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9815374	9826741	1	1	1	0	1	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9815538	9822109	1	1	0	0	1	22	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9815560	9826741	1	1	1	2	356	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9815865	9826741	1	1	1	38	201	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9816336	9826741	1	1	1	3	36	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9816500	9820156	1	3	1	0	1	22	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9816563	9826741	1	1	1	282	49	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9817894	9826741	1	1	1	26	154	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9818079	9826741	1	1	1	2	98	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9818302	9826741	1	1	1	34	952	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9818593	9826741	1	1	1	87	404	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9819418	9826741	1	1	1	11	144	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9819622	9826741	1	1	1	6	164	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9819820	9826741	1	1	1	93	322	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9820044	9826741	1	1	1	12	242	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9820222	9826741	1	1	1	19	332	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9820496	9820793	1	1	1	0	1	34	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9820538	9826741	1	1	1	3	124	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9820740	9821073	1	3	1	0	1	17	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9820847	9826741	1	1	1	116	3714	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9821181	9826741	1	1	1	4	327	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9821374	9826741	1	1	1	154	483	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9821586	9826741	1	1	1	8	419	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9821770	9826741	1	1	1	334	1769	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9821969	9826741	1	1	1	8	83	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9822123	9826741	1	1	1	0	1	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9822132	9826741	1	1	1	18	276	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9822313	9826741	1	1	1	15	35	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9822546	9826741	1	1	1	10	102	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9822715	9826741	1	1	1	6	382	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9822889	9826741	1	1	1	214	1229	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9823164	9826741	1	1	1	54	873	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9823379	9826741	1	1	1	64	445	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9823613	9826741	1	1	1	0	24	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9823765	9826741	1	1	1	1	691	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9823864	9826741	1	1	1	0	86	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
4	9824326	9826741	1	1	1	1	206	31	False	seq2.5F1B_p.NG-8304_Dscam1_lib80429_4049_1_SJ.out.tab	5F1B_p	1	4049
