"","chromosome","first.base.of.the.intron","last.base.of.the.intron","strand","intron.motif","is.annotated","number.of.uniquely.mapping.reads.crossing.the.junction","number.of.multi.mapping.reads.crossing.the.junction","maximum.spliced.alignment.overhang","is_in_gtf_junction","filename","pp_id","learning","exp","chr","i.strand","category"
"16",4,9807598,9811237,1,1,1,3,184,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"17",4,9807598,9811457,1,1,1,1122,105,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"18",4,9807598,9811457,1,1,1,5,390,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"19",4,9807598,9813002,1,1,1,266,20,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"20",4,9807598,9813002,1,1,1,3,47,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"21",4,9807598,9813198,1,1,1,416,29,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"22",4,9807598,9813198,1,1,1,12,121,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"23",4,9807598,9813834,1,1,1,1,0,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"24",4,9807598,9813834,1,1,1,0,2,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"25",4,9807598,9813855,1,1,1,487,39,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"26",4,9807598,9813855,1,1,1,16,153,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"27",4,9807598,9813979,1,1,1,2,0,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"unique in 'seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab'"
"28",4,9807598,9814014,1,1,1,1102,70,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"29",4,9807598,9814014,1,1,1,8,278,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"30",4,9807598,9814227,1,1,1,14,1,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"31",4,9807598,9814227,1,1,1,2,59,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"32",4,9807598,9814252,1,1,1,1522,235,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"33",4,9807598,9814252,1,1,1,20,559,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"34",4,9807598,9814491,1,1,1,0,16,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (not vary much)"
"35",4,9807598,9814491,1,1,1,0,4,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (not vary much)"
"36",4,9807598,9814505,1,1,1,11,356,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"37",4,9807598,9814505,1,1,1,0,147,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"38",4,9807598,9814684,1,1,1,665,41,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"39",4,9807598,9814684,1,1,1,11,232,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"40",4,9807598,9814690,1,1,1,3,0,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"41",4,9807598,9814690,1,1,1,1,0,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"42",4,9807598,9814923,1,1,1,970,45,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"43",4,9807598,9814923,1,1,1,70,579,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"44",4,9807598,9815244,1,1,1,16,465,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"45",4,9807598,9815244,1,1,1,1,141,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"46",4,9807598,9815435,1,1,1,11,214,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"47",4,9807598,9815435,1,1,1,0,131,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"48",4,9807598,9815740,1,1,1,276,32,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"49",4,9807598,9815740,1,1,1,33,94,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"50",4,9807598,9815992,1,1,1,0,17,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (not vary much)"
"51",4,9807598,9815992,1,1,1,0,13,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (not vary much)"
"52",4,9807598,9816211,1,1,1,0,17,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (not vary much)"
"53",4,9807598,9816211,1,1,1,0,13,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (not vary much)"
"54",4,9807598,9816438,1,1,1,335,19,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"55",4,9807598,9816438,1,1,1,104,34,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"56",4,9807598,9817769,1,1,1,65,10,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"57",4,9807598,9817769,1,1,1,3,60,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"58",4,9807598,9817954,1,1,1,281,22,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"59",4,9807598,9817954,1,1,1,1,43,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"60",4,9807598,9818177,1,1,1,459,93,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"61",4,9807598,9818177,1,1,1,12,290,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"62",4,9807598,9818468,1,1,1,430,21,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"63",4,9807598,9818468,1,1,1,19,142,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"64",4,9807598,9818532,1,1,1,0,1,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"unique in 'seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab'"
"65",4,9807598,9819256,1,1,1,0,1,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"unique in 'seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab'"
"66",4,9807598,9819293,1,1,1,231,8,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"67",4,9807598,9819293,1,1,1,1,39,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"68",4,9807598,9819295,1,1,1,0,1,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"unique in 'seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab'"
"69",4,9807598,9819497,1,1,1,300,20,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"70",4,9807598,9819497,1,1,1,4,42,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"71",4,9807598,9819695,1,1,1,380,18,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"72",4,9807598,9819695,1,1,1,35,97,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"73",4,9807598,9819919,1,1,1,105,15,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"74",4,9807598,9819919,1,1,1,4,48,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"75",4,9807598,9820097,1,1,1,230,16,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"76",4,9807598,9820097,1,1,1,4,90,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"77",4,9807598,9820410,1,1,1,63,7,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"78",4,9807598,9820410,1,1,1,3,51,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"79",4,9807598,9820722,1,1,1,1046,78,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"80",4,9807598,9820722,1,1,1,44,1068,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"81",4,9807598,9820724,1,1,1,1,0,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"unique in 'seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab'"
"82",4,9807598,9821056,1,1,1,382,10,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"83",4,9807598,9821056,1,1,1,1,106,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"84",4,9807598,9821249,1,1,1,538,31,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"85",4,9807598,9821249,1,1,1,46,196,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"86",4,9807598,9821461,1,1,1,484,37,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"87",4,9807598,9821461,1,1,1,6,161,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"88",4,9807598,9821648,1,1,1,438,45,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"89",4,9807598,9821648,1,1,1,88,503,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"90",4,9807598,9821847,1,1,1,47,3,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"91",4,9807598,9821847,1,1,1,2,37,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"92",4,9807598,9822007,1,1,1,167,31,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"93",4,9807598,9822007,1,1,1,9,85,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"94",4,9807598,9822188,1,1,1,174,13,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"95",4,9807598,9822188,1,1,1,5,11,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"96",4,9807598,9822421,1,1,1,151,3,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"97",4,9807598,9822421,1,1,1,3,54,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"98",4,9807598,9822590,1,1,1,564,47,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"99",4,9807598,9822590,1,1,1,1,139,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"100",4,9807598,9822764,1,1,1,165,9,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"101",4,9807598,9822764,1,1,1,92,466,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"102",4,9807598,9823039,1,1,1,998,62,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"103",4,9807598,9823039,1,1,1,23,328,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"104",4,9807598,9823251,1,1,1,117,5,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"105",4,9807598,9823251,1,1,1,18,148,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"106",4,9807598,9823482,1,1,1,1,78,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"107",4,9807598,9823482,1,1,1,0,15,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"108",4,9807598,9823637,1,1,1,2,497,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"109",4,9807598,9823637,1,1,1,0,220,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"110",4,9807598,9823655,1,1,1,0,15,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (not vary much)"
"111",4,9807598,9823655,1,1,1,0,28,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (not vary much)"
"112",4,9807598,9824204,1,1,1,145,76,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"113",4,9807598,9824204,1,1,1,0,90,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"114",4,9807598,9825060,1,1,1,9,5842,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"115",4,9807598,9825060,1,1,1,0,2822,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"116",4,9807598,9825106,1,1,1,0,11,36,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (not vary much)"
"117",4,9807598,9825106,1,1,1,0,6,36,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (not vary much)"
"118",4,9807598,9826741,1,1,1,0,103,31,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (not vary much)"
"119",4,9807598,9826741,1,1,1,0,3,31,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (not vary much)"
"120",4,9807602,9811463,1,1,1,1,0,40,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"unique in 'seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab'"
"121",4,9807602,9821648,1,1,1,60,4,40,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"122",4,9807602,9821648,1,1,1,15,5,40,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"123",4,9807602,9825060,1,1,1,0,1,40,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"unique in 'seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab'"
"124",4,9809152,9826741,1,1,1,273,8,31,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"125",4,9809152,9826741,1,1,1,5,124,31,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"126",4,9809470,9826741,1,1,1,20,0,31,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"127",4,9809470,9826741,1,1,1,2,5,31,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"128",4,9809668,9826741,1,1,1,1,146,31,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (not vary much)"
"129",4,9809668,9826741,1,1,1,1,72,31,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (not vary much)"
"130",4,9809746,9811256,1,3,1,0,1,19,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"unique in 'seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab'"
"131",4,9809851,9826741,1,1,1,222,3,31,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"132",4,9809851,9826741,1,1,1,1,143,31,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"133",4,9811362,9826741,1,1,1,5,250,31,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
"134",4,9811362,9826741,1,1,1,3,172,31,"False","seq1.5F1B_p.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1B_p",1,3962,4,1,"shared (vary much)"
"135",4,9811582,9825060,1,1,1,0,1,18,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"unique in 'seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab'"
"136",4,9811582,9826741,1,1,1,1122,31,31,"False","seq1.5F1A_unp.NG-8304_Dscam1_lib80429_3962_1_SJ.out.tab","5F1A_unp",0,3962,4,1,"shared (vary much)"
